Porqué,Limitación
,NINGUNA
no veo beneficio en lo personal ,el cambio de medio del transporte puesto que aumento el cambio economico 
Evitar aglomeraciones ,ninguna
,NINGUNO
"Porque nosotros rolamos turnos, trabajamos 4 días, 2 noches y dos descansos (es decir que no siempre trabajo de lunes a sabado, puede ser de martes a domingo, de miercoles a lunes, etc.) Y en dichos horarios es cuando menos tráfico hay.","La gente que sale a carretera para ir a ""pasear"" o vacacionar puesto que yo debo usar Carretera Chapala para llegar a mi lugar de trabajo y hay mucha gente que la usa para salir de viaje cuando aún no deberían y ellos son los que causan aglomeraciones."
Para menos riesgos,  Usando cubrevocas diario  tomando su distancia y desinfectandoce  a cada rato
Para evitar que se junten más personas y evitar contajios,Me limito a tener contacto con personas que no traigan cubre bocas y no guarden su distancia  
POR APOYO,NINGUNA
Por más facilidad de transporte ,El transporte 
Porque así puedo salir mas temprano y evitar el trafico,"El trafica que hay tanto al entrar como al salir del trabajo y a eso le sumó todas las obras viales que hay, complica mucho la movilidad"
Por qué si adelanto salgo más temprano y si lo atraso puedo hacer otras actividades por la mañana,Ninguna
"Siempre es bueno evitar el trafico, menos gasto de gasolina y quizá emisiones a la atmosfera",de mi parte no he visto limitación ya que me he desempeñado en mayor porcentaje en home office por lo que ha sido el mínimo desplazamiento al área de trabajo
Evitar trafico,No voy estoy desde casa trabajando
mi horario es flexible,ninguna
"Mejor horario, para salir mas temprano y no agarrar el trafico de las 6 PM.","Ninguna, ahora con la pandemia es mas fácil moverse en la ciudad. "
NO ME AFECTA,NO ME AFECTA
X,X
Por el congestionamiento en carretera a Chapala y el pésimo servicio del transporte de los Chapaleros de Arvento hacia Guadalajara,"Que los Chapaleros no tiene suficientes camiones con la pandemia recortaron más... Los camiones van llenos porque antes salían cada 15 min y ahora cada 30 min y van súper llenos,  pésimo el servicio de transporte, lo malo es que son un monopolio y nadie les hace nada... Hay mucha gente ahí en ese fraccionamiento y parece que nos hacen el favor, autoricen ingresar otras rutas URGE!!"
Por el congestinamiento que se hace en el teayecto de vuelta  a casa.,el trafico que se hace de regreso a casa es insoportable y no hay un retorno bien establecido en el km 13 solo un paso por debajo de la carretera que se satura.
"Por el tiempo de trasladó, y el tiempo de pasar del transporte.",El paso del transporte es muy tardado ya qu solo es una ruta la UE viene del salto a carretera a Chapala.
se puede contaminar en el camión.,"no ninguna,gracias por el apoyo de mi empresa,al prestar vehículo.  y agradecer el apoyo de cuidarme y cuidar a los demás.   "
para evitar el congestionamiento,la indicación de quedarnos en casa
Caminando,Ninguna
NO IMPLICA CAMBIOS,NINGUNO
NO IMPLICA CAMBIOS,NINGUNA
Haci estamos vien con los hprarios,El trafico
Pues si fuera muchp el riesgo de contagio si lo cambiaria,Ninguna hasta ahorita
