pregunta 1,pregunta 2,pregunta 3
Con niveles de servicio por trayecto,Agregar datos de flujo de movilidad de celulares googe,Dividir empleos -población económicamente activa- por género?
"Sí, estrategias de marketing para nuevas personas usuarias / rutas.",zonas rojas,rutas de transporte con accesibilidad universal
"Sí, para el análisis de tiempos de traslados y cercanía de equipamientos para cada modo de transporte",Incorporar líneas de transporte,Presencia de luminarias y de frentes activos
"Sí. Debemos jerarquizar los proyectos y el número de equipamientos beneficiados es un criterio clave.

Parece que el Visualizador nos ahorraría trabajo.","Que separe los destinos por edades. Destinos para niños, para adultos mayores, etc",Que se pueda visualizar los niveles de pobreza
Costos y segregación espacial,Valores catastrales,Incidencia delictiva
Equipamiento público,Hacer evaluaciones apartir de una capa externa es decir subir un kml o shp con puntos poligonos o lineas,A raíz de la población (cantidades) establecer qué equipamiento hace falta para las diversas necesidades
"Si, para una dotación de equipamiento e infraestructura más equitativa.","Capas referentes a baldíos, predios subutilizados y todos los tematicos de los PDU vigentes",Zonas de atracciones
"Si, tenemos la. intencion de desarrollar equipamientos y proponer zonas de crecimiento urbano/redensificacion",Usar a través de API,"poner capas de guarderías , supermercados y lugares de trabajo no - remunerado"
"Sí, para identificar dónde hacer paradas y a qué hora hay mayor necesidad.",Incluiría medición de edificaciones dentro de una isocrona que da una estimación de poblqcion,"Información de infraestructura urbana, información del  INV del INEGI,  indices de inseguridad"
"Si, para el caso de la ZMVT, podemos medir la accesibilidad de la movilidad intermunicipal, y la micromovilidad, para medir los tiempos de recorrido, evaluar el sistema de transporte público, la implementación de zonas de ascensos y descensos","Ubicación de cameras C4/C5
Puntos wifi",Información detallada del transporte con datos de accesibilidad para personas con movilidad reducida
Podrían incluirse datos de uso de un planificador de viajes.,Puntos de intersecciones inseguras,Información de espacios públicos inseguros por manzana
Si. Ayuda para identificar áreas con baja accesibilidad,Separar por sistema de transporte público estructurado,El horario de los viajes
tiempos de ruta de transporte público y mejorar tiempos de traslado,"Una funcionalidad para subir un GTFS alternativo y evaluar nuevas líneas, o bien, que se pueda trazar en la misma app una línea con sus respectivas características.",Información poblacional por sector
Sí para ver la accesibilidad con nuevo modo de transporte,"No lo se. Desconozco todas sus funciones, pero me interesaría que pudiera trabajar sobre lugares específicos, por ejemplo, yo determino la localidad, que no siempre son grandes ciudades. Y a qué tipo de transporte puedo acceder para los destinos","Indicar dónde hay rampas, pavimento táctil y facilidades para la accesibilidad universal. Donde hay botones de pánico para auxiliar a las mujeres víctimas en la vía pública, donde hay cámaras de seguridad"
"En mis estudios de mercado, para identificar potenciales consumidores",Puntos de inseguridad,Rampas
"Sí, medir las barreras de accesibilidad","Inventarios de Viviendas, Censos Economicos, Censos de Poblacion y Vivienda, Zonas de Riesgos de actos Delictivos",Identificar utas en transporte con 100% accesibilidad
"Principalmente para evaluar nueva posibles líneas de transporte público, al igual que ilustrar los cambios/beneficios de nuevas líneas.",Riesgo de actos delictivos,mapear por zona a las mujeres que tienen a su cargo el cuidado de otros y poderlas incluir como una capa
Si,Accidentes de transito,Cercania a botones de pánico/emergencia
"Si, estamos trabajando con el concepto de Centralidades Urbanas para ayudar el desarrollo de ciudad humana y accesible en Monterrey, queda Justo a nuestro la objetivos",Identificación de rutas más cortas y/o más baratas,Tomar en cuenta las dimensiones del enhorno público de acuerdo a la movilidad de ñersonas con discapacidad
"Si, para analisis de planeacion urbana","Conectarlo con centros de control de tránsito de las ciudades, para que tenga datos en tiempo real","análisis de ingresos de la población, trabajos informales, violencia"
Si. No tenemos suficiente personal y debemos diagnosticar y proponer para una CETRAM y para transporte  urbano-rural,Posibilidad de descarga de capas con información pública,Ocupacion de las mujeres
Evaluar Transporte público,"Recursos de información a casos de exito en temas de consolidación  de la ciudad  15, 20, 30 min, etc.",Incidencia delictiva
"Si, ayuda a identificar puntos de origen y destino y los modos que se utilizan por diversos motivos","Dar seguimiento a indicadores de accesibilidad  una vez puestas en marcha las políticas publicas
k",Indice de rezago social
Si. Para hacer una medicion de costos y viaticos y calculos de tiempos de traslado,Mercados públicos,Conexión a C5
"Si, para mapear la infraestructura ciclista",Zona de incidencia delictiva.,"capa de viajes de niños, personas mayores, mujeres"
mejorar las estrategias de movilidad urbana sustentable,Que uno mismo pueda subir capas a través de usuario perdonalizado,La movilidad inclusiva
Evaluar nuevas soluciones de transporte,Subir kml,tipos de discapacidad en el grupo de mujeres
"En Bogotá existen 4 modos de transporte escolar que brinda el distrito, rutas escolares, subsidio TP, caravanas de caminata, caravanas de bici al cole. Cómo se podría usar la herramienta para determinar qué modo le aplicaría a cada niño",Zonas susceptibles a inundación,
Sí,Puntos de riesgos viales.  Accidentalidad,
"Para valoracion de PPU, PDU. Para complemrntar informacion en nuestro visor",Costos de medios de transporte,
"Si, verificar la accesibilidad desde la perspectiva de movilidad para las personas con discapacidad",Delitos,
"Si, para avaliar efectos de legislación urbana","Analisis de dotacion ( satisfacción) de equipamientos, servicios , etc en perimetros seleccionadis.",
Si para saber los kilómetros que se recorren de una localidad a otra,incluir discapacidades,
Si para ver si los desarrollos inmobiliarios están alejados de las zonas de trabajo y equipamientos urbanos,"accesibilidad cultural (museos, centros culturales comunitarios, Pilares, Bibliotecas, etc)",
"Es necesario medir la accesibilidad de servicios, equipamientos e infraestructuras en las diferentes modalidades de movilidad",Conexión al C5,
Agregar datos de inseguridad y reportes de robo acoso,incluir zonas de riesgos,
"incluso a nivel empresarial, para ver la accesibilidad en una zona de mi interés para emprender (poner oficinas, algún negocio)",,
"Si, para realizar procesos de planeación.",,
"Sí, expandir el servicio a personas con necesidades de viaje diferente",,
"Se pueden encontrar zonas sub ofertadas en transporte público, o sobre ofertadas",,
Si,,
Si,,
Si. importante para factibilidad y usos de suelo,,
Evaluar Transporte público,,
Necesito eficientar el derrotero actual,,
Para promovion de ciclovia,,
"análisis de ingresos de la población, trabajos informales, violencia",,
Si,,
